participants,pitch,condition,instrument,response
1,1864.65504607236,HRSE,violin,2
1,1864.65504607236,congr.,violin,3
1,2349.31814333926,LRSE,violin,3
1,2349.31814333926,MRSE,violin,4
1,2349.31814333926,HRSE,violin,2
1,2349.31814333926,congr.,violin,3
1,2959.95538169308,LRSE,violin,2
1,2959.95538169308,MRSE,violin,2
1,2959.95538169308,HRSE,violin,3
1,2959.95538169308,congr.,violin,3
2,46.2493028389544,LRSE,violin,1
2,46.2493028389544,MRSE,violin,3
2,46.2493028389544,HRSE,violin,3
2,46.2493028389544,congr.,violin,NaN
2,58.2704701897613,LRSE,violin,2
2,58.2704701897613,MRSE,violin,3
2,58.2704701897613,HRSE,violin,1
2,58.2704701897613,congr.,violin,NaN
2,73.416191979352,LRSE,violin,3
2,73.416191979352,MRSE,violin,1
2,73.416191979352,HRSE,violin,2
2,73.416191979352,congr.,violin,NaN
2,92.4986056779087,LRSE,violin,4
2,92.4986056779087,MRSE,violin,2
2,92.4986056779087,HRSE,violin,2
2,92.4986056779087,congr.,violin,NaN
2,116.540940379523,LRSE,violin,3
2,116.540940379523,MRSE,violin,1
2,116.540940379523,HRSE,violin,2
2,116.540940379523,congr.,violin,NaN
2,146.832383958704,LRSE,violin,3
2,146.832383958704,MRSE,violin,3
2,146.832383958704,HRSE,violin,2
2,146.832383958704,congr.,violin,NaN
2,184.997211355817,LRSE,violin,3
2,184.997211355817,MRSE,violin,4
2,184.997211355817,HRSE,violin,2
2,184.997211355817,congr.,violin,NaN
2,233.081880759045,LRSE,violin,2
2,233.081880759045,MRSE,violin,3
2,233.081880759045,HRSE,violin,2
2,233.081880759045,congr.,violin,3
2,293.664767917408,LRSE,violin,3
2,293.664767917408,MRSE,violin,3
2,293.664767917408,HRSE,violin,2
2,293.664767917408,congr.,violin,4
2,369.994422711635,LRSE,violin,2
2,369.994422711635,MRSE,violin,2
2,369.994422711635,HRSE,violin,3
2,369.994422711635,congr.,violin,4
2,466.163761518091,LRSE,violin,4
2,466.163761518091,MRSE,violin,3
2,466.163761518091,HRSE,violin,3
2,466.163761518091,congr.,violin,5
2,587.329535834816,LRSE,violin,3
2,587.329535834816,MRSE,violin,3
2,587.329535834816,HRSE,violin,3
2,587.329535834816,congr.,violin,2
2,739.98884542327,LRSE,violin,2
2,739.98884542327,MRSE,violin,2
2,739.98884542327,HRSE,violin,1
2,739.98884542327,congr.,violin,5
2,932.327523036181,LRSE,violin,5
2,932.327523036181,MRSE,violin,4
2,932.327523036181,HRSE,violin,3
2,932.327523036181,congr.,violin,4
2,1174.65907166963,LRSE,violin,2
2,1174.65907166963,MRSE,violin,3
2,1174.65907166963,HRSE,violin,4
2,1174.65907166963,congr.,violin,4
2,1479.97769084654,LRSE,violin,3
2,1479.97769084654,MRSE,violin,4
2,1479.97769084654,HRSE,violin,2
2,1479.97769084654,congr.,violin,3
2,1864.65504607236,LRSE,violin,2
2,1864.65504607236,MRSE,violin,3
2,1864.65504607236,HRSE,violin,3
2,1864.65504607236,congr.,violin,2
2,2349.31814333926,LRSE,violin,1
2,2349.31814333926,MRSE,violin,1
2,2349.31814333926,HRSE,violin,2
2,2349.31814333926,congr.,violin,3
2,2959.95538169308,LRSE,violin,1
2,2959.95538169308,MRSE,violin,1
2,2959.95538169308,HRSE,violin,1
2,2959.95538169308,congr.,violin,1
3,46.2493028389544,LRSE,violin,3
3,46.2493028389544,MRSE,violin,2
3,46.2493028389544,HRSE,violin,2
3,46.2493028389544,congr.,violin,NaN
3,58.2704701897613,LRSE,violin,3
3,58.2704701897613,MRSE,violin,3
3,58.2704701897613,HRSE,violin,3
3,58.2704701897613,congr.,violin,NaN
3,73.416191979352,LRSE,violin,3
3,73.416191979352,MRSE,violin,3
3,73.416191979352,HRSE,violin,3
3,73.416191979352,congr.,violin,NaN
3,92.4986056779087,LRSE,violin,3
3,92.4986056779087,MRSE,violin,5
3,92.4986056779087,HRSE,violin,4
3,92.4986056779087,congr.,violin,NaN
3,116.540940379523,LRSE,violin,4
3,116.540940379523,MRSE,violin,3
3,116.540940379523,HRSE,violin,3
3,116.540940379523,congr.,violin,NaN
3,146.832383958704,LRSE,violin,5
3,146.832383958704,MRSE,violin,4
3,146.832383958704,HRSE,violin,4
3,146.832383958704,congr.,violin,NaN
3,184.997211355817,LRSE,violin,4
3,184.997211355817,MRSE,violin,3
3,184.997211355817,HRSE,violin,4
3,184.997211355817,congr.,violin,NaN
3,233.081880759045,LRSE,violin,4
3,233.081880759045,MRSE,violin,5
3,233.081880759045,HRSE,violin,4
3,233.081880759045,congr.,violin,5
3,293.664767917408,LRSE,violin,5
3,293.664767917408,MRSE,violin,5
3,293.664767917408,HRSE,violin,4
3,293.664767917408,congr.,violin,6
3,369.994422711635,LRSE,violin,6
3,369.994422711635,MRSE,violin,5
3,369.994422711635,HRSE,violin,3
3,369.994422711635,congr.,violin,4
3,466.163761518091,LRSE,violin,5
3,466.163761518091,MRSE,violin,5
3,466.163761518091,HRSE,violin,3
3,466.163761518091,congr.,violin,6
3,587.329535834816,LRSE,violin,5
3,587.329535834816,MRSE,violin,5
3,587.329535834816,HRSE,violin,4
3,587.329535834816,congr.,violin,5
3,739.98884542327,LRSE,violin,3
3,739.98884542327,MRSE,violin,3
3,739.98884542327,HRSE,violin,2
3,739.98884542327,congr.,violin,3
3,932.327523036181,LRSE,violin,2
3,932.327523036181,MRSE,violin,4
3,932.327523036181,HRSE,violin,3
3,932.327523036181,congr.,violin,4
3,1174.65907166963,LRSE,violin,5
3,1174.65907166963,MRSE,violin,4
3,1174.65907166963,HRSE,violin,4
3,1174.65907166963,congr.,violin,4
3,1479.97769084654,LRSE,violin,5
3,1479.97769084654,MRSE,violin,2
3,1479.97769084654,HRSE,violin,3
3,1479.97769084654,congr.,violin,3
3,1864.65504607236,LRSE,violin,3
3,1864.65504607236,MRSE,violin,3
3,1864.65504607236,HRSE,violin,2
3,1864.65504607236,congr.,violin,2
3,2349.31814333926,LRSE,violin,2
3,2349.31814333926,MRSE,violin,1
3,2349.31814333926,HRSE,violin,1
3,2349.31814333926,congr.,violin,2
3,2959.95538169308,LRSE,violin,2
3,2959.95538169308,MRSE,violin,2
3,2959.95538169308,HRSE,violin,2
3,2959.95538169308,congr.,violin,2
4,46.2493028389544,LRSE,violin,1
4,46.2493028389544,MRSE,violin,1
4,46.2493028389544,HRSE,violin,2
4,46.2493028389544,congr.,violin,NaN
4,58.2704701897613,LRSE,violin,2
4,58.2704701897613,MRSE,violin,2
4,58.2704701897613,HRSE,violin,2
4,58.2704701897613,congr.,violin,NaN
4,73.416191979352,LRSE,violin,2
4,73.416191979352,MRSE,violin,2
4,73.416191979352,HRSE,violin,2
4,73.416191979352,congr.,violin,NaN
4,92.4986056779087,LRSE,violin,2
4,92.4986056779087,MRSE,violin,1
4,92.4986056779087,HRSE,violin,3
4,92.4986056779087,congr.,violin,NaN
4,116.540940379523,LRSE,violin,4
4,116.540940379523,MRSE,violin,3
4,116.540940379523,HRSE,violin,2
4,116.540940379523,congr.,violin,NaN
4,146.832383958704,LRSE,violin,3
4,146.832383958704,MRSE,violin,2
4,146.832383958704,HRSE,violin,1
4,146.832383958704,congr.,violin,NaN
4,184.997211355817,LRSE,violin,3
4,184.997211355817,MRSE,violin,2
4,184.997211355817,HRSE,violin,2
4,184.997211355817,congr.,violin,NaN
4,233.081880759045,LRSE,violin,3
4,233.081880759045,MRSE,violin,3
4,233.081880759045,HRSE,violin,2
4,233.081880759045,congr.,violin,3
4,293.664767917408,LRSE,violin,4
4,293.664767917408,MRSE,violin,3
4,293.664767917408,HRSE,violin,3
4,293.664767917408,congr.,violin,4
4,369.994422711635,LRSE,violin,4
4,369.994422711635,MRSE,violin,5
4,369.994422711635,HRSE,violin,2
4,369.994422711635,congr.,violin,3
4,466.163761518091,LRSE,violin,5
4,466.163761518091,MRSE,violin,5
4,466.163761518091,HRSE,violin,3
4,466.163761518091,congr.,violin,5
4,587.329535834816,LRSE,violin,4
4,587.329535834816,MRSE,violin,5
4,587.329535834816,HRSE,violin,2
4,587.329535834816,congr.,violin,3
4,739.98884542327,LRSE,violin,4
4,739.98884542327,MRSE,violin,4
4,739.98884542327,HRSE,violin,2
4,739.98884542327,congr.,violin,4
4,932.327523036181,LRSE,violin,4
4,932.327523036181,MRSE,violin,5
4,932.327523036181,HRSE,violin,2
4,932.327523036181,congr.,violin,4
4,1174.65907166963,LRSE,violin,4
4,1174.65907166963,MRSE,violin,5
4,1174.65907166963,HRSE,violin,3
4,1174.65907166963,congr.,violin,3
4,1479.97769084654,LRSE,violin,3
4,1479.97769084654,MRSE,violin,4
4,1479.97769084654,HRSE,violin,3
4,1479.97769084654,congr.,violin,3
4,1864.65504607236,LRSE,violin,5
4,1864.65504607236,MRSE,violin,4
4,1864.65504607236,HRSE,violin,3
4,1864.65504607236,congr.,violin,3
4,2349.31814333926,LRSE,violin,2
4,2349.31814333926,MRSE,violin,3
4,2349.31814333926,HRSE,violin,1
4,2349.31814333926,congr.,violin,3
4,2959.95538169308,LRSE,violin,2
4,2959.95538169308,MRSE,violin,1
4,2959.95538169308,HRSE,violin,2
4,2959.95538169308,congr.,violin,1
5,46.2493028389544,LRSE,violin,1
5,46.2493028389544,MRSE,violin,1
5,46.2493028389544,HRSE,violin,1
5,46.2493028389544,congr.,violin,NaN
5,58.2704701897613,LRSE,violin,1
5,58.2704701897613,MRSE,violin,1
5,58.2704701897613,HRSE,violin,1
5,58.2704701897613,congr.,violin,NaN
5,73.416191979352,LRSE,violin,1
5,73.416191979352,MRSE,violin,1
5,73.416191979352,HRSE,violin,1
5,73.416191979352,congr.,violin,NaN
5,92.4986056779087,LRSE,violin,2.25
5,92.4986056779087,MRSE,violin,1
5,92.4986056779087,HRSE,violin,1
5,92.4986056779087,congr.,violin,NaN
5,116.540940379523,LRSE,violin,2.25
5,116.540940379523,MRSE,violin,2.25
5,116.540940379523,HRSE,violin,1
5,116.540940379523,congr.,violin,NaN
5,146.832383958704,LRSE,violin,1
5,146.832383958704,MRSE,violin,2.25
5,146.832383958704,HRSE,violin,1
5,146.832383958704,congr.,violin,NaN
5,184.997211355817,LRSE,violin,2.25
5,184.997211355817,MRSE,violin,1
5,184.997211355817,HRSE,violin,1
5,184.997211355817,congr.,violin,NaN
5,233.081880759045,LRSE,violin,2.25
5,233.081880759045,MRSE,violin,3.5
5,233.081880759045,HRSE,violin,1
5,233.081880759045,congr.,violin,3.5
5,293.664767917408,LRSE,violin,3.5
5,293.664767917408,MRSE,violin,1
5,293.664767917408,HRSE,violin,1
5,293.664767917408,congr.,violin,4.75
5,369.994422711635,LRSE,violin,4.75
5,369.994422711635,MRSE,violin,3.5
5,369.994422711635,HRSE,violin,1
5,369.994422711635,congr.,violin,3.5
5,466.163761518091,LRSE,violin,2.25
5,466.163761518091,MRSE,violin,3.5
5,466.163761518091,HRSE,violin,1
5,466.163761518091,congr.,violin,3.5
5,587.329535834816,LRSE,violin,3.5
5,587.329535834816,MRSE,violin,4.75
5,587.329535834816,HRSE,violin,3.5
5,587.329535834816,congr.,violin,3.5
5,739.98884542327,LRSE,violin,3.5
5,739.98884542327,MRSE,violin,3.5
5,739.98884542327,HRSE,violin,2.25
5,739.98884542327,congr.,violin,4.75
5,932.327523036181,LRSE,violin,2.25
5,932.327523036181,MRSE,violin,2.25
5,932.327523036181,HRSE,violin,3.5
5,932.327523036181,congr.,violin,3.5
5,1174.65907166963,LRSE,violin,3.5
5,1174.65907166963,MRSE,violin,4.75
5,1174.65907166963,HRSE,violin,6
5,1174.65907166963,congr.,violin,2.25
5,1479.97769084654,LRSE,violin,4.75
5,1479.97769084654,MRSE,violin,4.75
5,1479.97769084654,HRSE,violin,2.25
5,1479.97769084654,congr.,violin,2.25
5,1864.65504607236,LRSE,violin,3.5
5,1864.65504607236,MRSE,violin,6
5,1864.65504607236,HRSE,violin,3.5
5,1864.65504607236,congr.,violin,3.5
5,2349.31814333926,LRSE,violin,3.5
5,2349.31814333926,MRSE,violin,3.5
5,2349.31814333926,HRSE,violin,2.25
5,2349.31814333926,congr.,violin,1
5,2959.95538169308,LRSE,violin,1
5,2959.95538169308,MRSE,violin,1
5,2959.95538169308,HRSE,violin,2.25
5,2959.95538169308,congr.,violin,2.25
6,46.2493028389544,LRSE,violin,1
6,46.2493028389544,MRSE,violin,1
6,46.2493028389544,HRSE,violin,2.66666666666667
6,46.2493028389544,congr.,violin,NaN
6,58.2704701897613,LRSE,violin,1
6,58.2704701897613,MRSE,violin,1
6,58.2704701897613,HRSE,violin,1
6,58.2704701897613,congr.,violin,NaN
6,73.416191979352,LRSE,violin,1
6,73.416191979352,MRSE,violin,1
6,73.416191979352,HRSE,violin,1
6,73.416191979352,congr.,violin,NaN
6,92.4986056779087,LRSE,violin,1
6,92.4986056779087,MRSE,violin,1
6,92.4986056779087,HRSE,violin,1
6,92.4986056779087,congr.,violin,NaN
6,116.540940379523,LRSE,violin,1
6,116.540940379523,MRSE,violin,1
6,116.540940379523,HRSE,violin,1
6,116.540940379523,congr.,violin,NaN
6,146.832383958704,LRSE,violin,1
6,146.832383958704,MRSE,violin,1
6,146.832383958704,HRSE,violin,1
6,146.832383958704,congr.,violin,NaN
6,184.997211355817,LRSE,violin,1
6,184.997211355817,MRSE,violin,2.66666666666667
6,184.997211355817,HRSE,violin,1
6,184.997211355817,congr.,violin,NaN
6,233.081880759045,LRSE,violin,1
6,233.081880759045,MRSE,violin,2.66666666666667
6,233.081880759045,HRSE,violin,1
6,233.081880759045,congr.,violin,2.66666666666667
6,293.664767917408,LRSE,violin,2.66666666666667
6,293.664767917408,MRSE,violin,1
6,293.664767917408,HRSE,violin,1
6,293.664767917408,congr.,violin,2.66666666666667
6,369.994422711635,LRSE,violin,1
6,369.994422711635,MRSE,violin,2.66666666666667
6,369.994422711635,HRSE,violin,1
6,369.994422711635,congr.,violin,1
6,466.163761518091,LRSE,violin,2.66666666666667
6,466.163761518091,MRSE,violin,1
6,466.163761518091,HRSE,violin,2.66666666666667
6,466.163761518091,congr.,violin,4.33333333333333
6,587.329535834816,LRSE,violin,1
6,587.329535834816,MRSE,violin,2.66666666666667
6,587.329535834816,HRSE,violin,2.66666666666667
6,587.329535834816,congr.,violin,1
6,739.98884542327,LRSE,violin,4.33333333333333
6,739.98884542327,MRSE,violin,4.33333333333333
6,739.98884542327,HRSE,violin,1
6,739.98884542327,congr.,violin,2.66666666666667
6,932.327523036181,LRSE,violin,2.66666666666667
6,932.327523036181,MRSE,violin,4.33333333333333
6,932.327523036181,HRSE,violin,1
6,932.327523036181,congr.,violin,4.33333333333333
6,1174.65907166963,LRSE,violin,2.66666666666667
6,1174.65907166963,MRSE,violin,2.66666666666667
6,1174.65907166963,HRSE,violin,1
6,1174.65907166963,congr.,violin,2.66666666666667
6,1479.97769084654,LRSE,violin,2.66666666666667
6,1479.97769084654,MRSE,violin,2.66666666666667
6,1479.97769084654,HRSE,violin,4.33333333333333
6,1479.97769084654,congr.,violin,2.66666666666667
6,1864.65504607236,LRSE,violin,4.33333333333333
6,1864.65504607236,MRSE,violin,4.33333333333333
6,1864.65504607236,HRSE,violin,2.66666666666667
6,1864.65504607236,congr.,violin,4.33333333333333
6,2349.31814333926,LRSE,violin,4.33333333333333
6,2349.31814333926,MRSE,violin,2.66666666666667
6,2349.31814333926,HRSE,violin,2.66666666666667
6,2349.31814333926,congr.,violin,2.66666666666667
6,2959.95538169308,LRSE,violin,2.66666666666667
6,2959.95538169308,MRSE,violin,1
6,2959.95538169308,HRSE,violin,4.33333333333333
6,2959.95538169308,congr.,violin,4.33333333333333
7,46.2493028389544,LRSE,violin,1
7,46.2493028389544,MRSE,violin,1
7,46.2493028389544,HRSE,violin,1
7,46.2493028389544,congr.,violin,NaN
7,58.2704701897613,LRSE,violin,1
7,58.2704701897613,MRSE,violin,1
7,58.2704701897613,HRSE,violin,1
7,58.2704701897613,congr.,violin,NaN
7,73.416191979352,LRSE,violin,1
7,73.416191979352,MRSE,violin,1
7,73.416191979352,HRSE,violin,1
7,73.416191979352,congr.,violin,NaN
7,92.4986056779087,LRSE,violin,2
7,92.4986056779087,MRSE,violin,1
7,92.4986056779087,HRSE,violin,1
7,92.4986056779087,congr.,violin,NaN
7,116.540940379523,LRSE,violin,1
7,116.540940379523,MRSE,violin,2
7,116.540940379523,HRSE,violin,1
7,116.540940379523,congr.,violin,NaN
7,146.832383958704,LRSE,violin,3
7,146.832383958704,MRSE,violin,2
7,146.832383958704,HRSE,violin,1
7,146.832383958704,congr.,violin,NaN
7,184.997211355817,LRSE,violin,2
7,184.997211355817,MRSE,violin,3
7,184.997211355817,HRSE,violin,1
7,184.997211355817,congr.,violin,NaN
7,233.081880759045,LRSE,violin,2
7,233.081880759045,MRSE,violin,2
7,233.081880759045,HRSE,violin,1
7,233.081880759045,congr.,violin,2
7,293.664767917408,LRSE,violin,4
7,293.664767917408,MRSE,violin,2
7,293.664767917408,HRSE,violin,1
7,293.664767917408,congr.,violin,4
7,369.994422711635,LRSE,violin,3
7,369.994422711635,MRSE,violin,2
7,369.994422711635,HRSE,violin,1
7,369.994422711635,congr.,violin,3
7,466.163761518091,LRSE,violin,3
7,466.163761518091,MRSE,violin,3
7,466.163761518091,HRSE,violin,1
7,466.163761518091,congr.,violin,4
7,587.329535834816,LRSE,violin,3
7,587.329535834816,MRSE,violin,3
7,587.329535834816,HRSE,violin,2
7,587.329535834816,congr.,violin,3
7,739.98884542327,LRSE,violin,3
7,739.98884542327,MRSE,violin,4
7,739.98884542327,HRSE,violin,3
7,739.98884542327,congr.,violin,4
7,932.327523036181,LRSE,violin,3
7,932.327523036181,MRSE,violin,4
7,932.327523036181,HRSE,violin,1
7,932.327523036181,congr.,violin,3
7,1174.65907166963,LRSE,violin,1
7,1174.65907166963,MRSE,violin,2
7,1174.65907166963,HRSE,violin,1
7,1174.65907166963,congr.,violin,1
7,1479.97769084654,LRSE,violin,3
7,1479.97769084654,MRSE,violin,1
7,1479.97769084654,HRSE,violin,1
7,1479.97769084654,congr.,violin,1
7,1864.65504607236,LRSE,violin,1
7,1864.65504607236,MRSE,violin,1
7,1864.65504607236,HRSE,violin,1
7,1864.65504607236,congr.,violin,1
7,2349.31814333926,LRSE,violin,1
7,2349.31814333926,MRSE,violin,1
7,2349.31814333926,HRSE,violin,1
7,2349.31814333926,congr.,violin,1
7,2959.95538169308,LRSE,violin,1
7,2959.95538169308,MRSE,violin,1
7,2959.95538169308,HRSE,violin,1
7,2959.95538169308,congr.,violin,1
8,46.2493028389544,LRSE,violin,1
8,46.2493028389544,MRSE,violin,1
8,46.2493028389544,HRSE,violin,2
8,46.2493028389544,congr.,violin,NaN
8,58.2704701897613,LRSE,violin,1
8,58.2704701897613,MRSE,violin,1
8,58.2704701897613,HRSE,violin,3
8,58.2704701897613,congr.,violin,NaN
8,73.416191979352,LRSE,violin,2
8,73.416191979352,MRSE,violin,2
8,73.416191979352,HRSE,violin,2
8,73.416191979352,congr.,violin,NaN
8,92.4986056779087,LRSE,violin,2
8,92.4986056779087,MRSE,violin,3
8,92.4986056779087,HRSE,violin,3
8,92.4986056779087,congr.,violin,NaN
8,116.540940379523,LRSE,violin,2
8,116.540940379523,MRSE,violin,2
8,116.540940379523,HRSE,violin,2
8,116.540940379523,congr.,violin,NaN
8,146.832383958704,LRSE,violin,3
8,146.832383958704,MRSE,violin,3
8,146.832383958704,HRSE,violin,2
8,146.832383958704,congr.,violin,NaN
8,184.997211355817,LRSE,violin,4
8,184.997211355817,MRSE,violin,2
8,184.997211355817,HRSE,violin,2
8,184.997211355817,congr.,violin,NaN
8,233.081880759045,LRSE,violin,4
8,233.081880759045,MRSE,violin,4
8,233.081880759045,HRSE,violin,3
8,233.081880759045,congr.,violin,4
8,293.664767917408,LRSE,violin,4
8,293.664767917408,MRSE,violin,3
8,293.664767917408,HRSE,violin,3
8,293.664767917408,congr.,violin,4
8,369.994422711635,LRSE,violin,4
8,369.994422711635,MRSE,violin,4
8,369.994422711635,HRSE,violin,3
8,369.994422711635,congr.,violin,5
8,466.163761518091,LRSE,violin,4
8,466.163761518091,MRSE,violin,3
8,466.163761518091,HRSE,violin,4
8,466.163761518091,congr.,violin,5
8,587.329535834816,LRSE,violin,4
8,587.329535834816,MRSE,violin,3
8,587.329535834816,HRSE,violin,1
8,587.329535834816,congr.,violin,4
8,739.98884542327,LRSE,violin,4
8,739.98884542327,MRSE,violin,3
8,739.98884542327,HRSE,violin,3
8,739.98884542327,congr.,violin,4
8,932.327523036181,LRSE,violin,3
8,932.327523036181,MRSE,violin,4
8,932.327523036181,HRSE,violin,3
8,932.327523036181,congr.,violin,3
8,1174.65907166963,LRSE,violin,3
8,1174.65907166963,MRSE,violin,2
8,1174.65907166963,HRSE,violin,3
8,1174.65907166963,congr.,violin,2
8,1479.97769084654,LRSE,violin,2
8,1479.97769084654,MRSE,violin,2
8,1479.97769084654,HRSE,violin,2
8,1479.97769084654,congr.,violin,2
8,1864.65504607236,LRSE,violin,3
8,1864.65504607236,MRSE,violin,3
8,1864.65504607236,HRSE,violin,1
8,1864.65504607236,congr.,violin,4
8,2349.31814333926,LRSE,violin,2
8,2349.31814333926,MRSE,violin,3
8,2349.31814333926,HRSE,violin,1
8,2349.31814333926,congr.,violin,1
8,2959.95538169308,LRSE,violin,1
8,2959.95538169308,MRSE,violin,2
8,2959.95538169308,HRSE,violin,2
8,2959.95538169308,congr.,violin,1
9,46.2493028389544,LRSE,violin,2.25
9,46.2493028389544,MRSE,violin,3.5
9,46.2493028389544,HRSE,violin,1
9,46.2493028389544,congr.,violin,NaN
9,58.2704701897613,LRSE,violin,3.5
9,58.2704701897613,MRSE,violin,2.25
9,58.2704701897613,HRSE,violin,2.25
9,58.2704701897613,congr.,violin,NaN
9,73.416191979352,LRSE,violin,3.5
9,73.416191979352,MRSE,violin,3.5
9,73.416191979352,HRSE,violin,1
9,73.416191979352,congr.,violin,NaN
9,92.4986056779087,LRSE,violin,3.5
9,92.4986056779087,MRSE,violin,3.5
9,92.4986056779087,HRSE,violin,2.25
9,92.4986056779087,congr.,violin,NaN
9,116.540940379523,LRSE,violin,3.5
9,116.540940379523,MRSE,violin,3.5
9,116.540940379523,HRSE,violin,2.25
9,116.540940379523,congr.,violin,NaN
9,146.832383958704,LRSE,violin,4.75
9,146.832383958704,MRSE,violin,3.5
9,146.832383958704,HRSE,violin,2.25
9,146.832383958704,congr.,violin,NaN
9,184.997211355817,LRSE,violin,4.75
9,184.997211355817,MRSE,violin,3.5
9,184.997211355817,HRSE,violin,3.5
9,184.997211355817,congr.,violin,NaN
9,233.081880759045,LRSE,violin,3.5
9,233.081880759045,MRSE,violin,4.75
9,233.081880759045,HRSE,violin,3.5
9,233.081880759045,congr.,violin,4.75
9,293.664767917408,LRSE,violin,4.75
9,293.664767917408,MRSE,violin,4.75
9,293.664767917408,HRSE,violin,3.5
9,293.664767917408,congr.,violin,4.75
9,369.994422711635,LRSE,violin,4.75
9,369.994422711635,MRSE,violin,6
9,369.994422711635,HRSE,violin,3.5
9,369.994422711635,congr.,violin,4.75
9,466.163761518091,LRSE,violin,3.5
9,466.163761518091,MRSE,violin,4.75
9,466.163761518091,HRSE,violin,3.5
9,466.163761518091,congr.,violin,4.75
9,587.329535834816,LRSE,violin,4.75
9,587.329535834816,MRSE,violin,4.75
9,587.329535834816,HRSE,violin,3.5
9,587.329535834816,congr.,violin,4.75
9,739.98884542327,LRSE,violin,4.75
9,739.98884542327,MRSE,violin,3.5
9,739.98884542327,HRSE,violin,4.75
9,739.98884542327,congr.,violin,4.75
9,932.327523036181,LRSE,violin,4.75
9,932.327523036181,MRSE,violin,4.75
9,932.327523036181,HRSE,violin,4.75
9,932.327523036181,congr.,violin,4.75
9,1174.65907166963,LRSE,violin,4.75
9,1174.65907166963,MRSE,violin,4.75
9,1174.65907166963,HRSE,violin,3.5
9,1174.65907166963,congr.,violin,4.75
9,1479.97769084654,LRSE,violin,4.75
9,1479.97769084654,MRSE,violin,4.75
9,1479.97769084654,HRSE,violin,4.75
9,1479.97769084654,congr.,violin,4.75
9,1864.65504607236,LRSE,violin,4.75
9,1864.65504607236,MRSE,violin,3.5
9,1864.65504607236,HRSE,violin,3.5
9,1864.65504607236,congr.,violin,4.75
9,2349.31814333926,LRSE,violin,4.75
9,2349.31814333926,MRSE,violin,3.5
9,2349.31814333926,HRSE,violin,3.5
9,2349.31814333926,congr.,violin,3.5
9,2959.95538169308,LRSE,violin,3.5
9,2959.95538169308,MRSE,violin,3.5
9,2959.95538169308,HRSE,violin,4.75
9,2959.95538169308,congr.,violin,3.5
10,46.2493028389544,LRSE,violin,1
10,46.2493028389544,MRSE,violin,2.25
10,46.2493028389544,HRSE,violin,1
10,46.2493028389544,congr.,violin,NaN
10,58.2704701897613,LRSE,violin,1
10,58.2704701897613,MRSE,violin,2.25
10,58.2704701897613,HRSE,violin,2.25
10,58.2704701897613,congr.,violin,NaN
10,73.416191979352,LRSE,violin,2.25
10,73.416191979352,MRSE,violin,2.25
10,73.416191979352,HRSE,violin,1
10,73.416191979352,congr.,violin,NaN
10,92.4986056779087,LRSE,violin,1
10,92.4986056779087,MRSE,violin,3.5
