participants,register,condition,response,instrument
22,high,LRSE,3.5,Tuba
22,high,MRSE,1,Tuba
22,high,HRSE,3.5,Tuba
22,high,congr.,6,Tuba
23,low,LRSE,6,Tuba
23,low,MRSE,6,Tuba
23,low,HRSE,6,Tuba
23,low,congr.,6,Tuba
23,mid,LRSE,4.75,Tuba
23,mid,MRSE,6,Tuba
23,mid,HRSE,4.75,Tuba
23,mid,congr.,6,Tuba
23,high,LRSE,4.75,Tuba
23,high,MRSE,4.75,Tuba
23,high,HRSE,4.75,Tuba
23,high,congr.,4.75,Tuba
24,low,LRSE,6,Tuba
24,low,MRSE,6,Tuba
24,low,HRSE,6,Tuba
24,low,congr.,6,Tuba
24,mid,LRSE,6,Tuba
24,mid,MRSE,6,Tuba
24,mid,HRSE,6,Tuba
24,mid,congr.,5,Tuba
24,high,LRSE,4,Tuba
24,high,MRSE,6,Tuba
24,high,HRSE,4,Tuba
24,high,congr.,5,Tuba
25,low,LRSE,4.33333333333333,Tuba
25,low,MRSE,2.66666666666667,Tuba
25,low,HRSE,4.33333333333333,Tuba
25,low,congr.,2.66666666666667,Tuba
25,mid,LRSE,4.33333333333333,Tuba
25,mid,MRSE,4.33333333333333,Tuba
25,mid,HRSE,6,Tuba
25,mid,congr.,4.33333333333333,Tuba
25,high,LRSE,4.33333333333333,Tuba
25,high,MRSE,4.33333333333333,Tuba
25,high,HRSE,2.66666666666667,Tuba
25,high,congr.,4.33333333333333,Tuba
26,low,LRSE,2.66666666666667,Tuba
26,low,MRSE,2.66666666666667,Tuba
26,low,HRSE,4.33333333333333,Tuba
26,low,congr.,2.66666666666667,Tuba
26,mid,LRSE,4.33333333333333,Tuba
26,mid,MRSE,4.33333333333333,Tuba
26,mid,HRSE,4.33333333333333,Tuba
26,mid,congr.,4.33333333333333,Tuba
26,high,LRSE,6,Tuba
26,high,MRSE,6,Tuba
26,high,HRSE,6,Tuba
26,high,congr.,6,Tuba
27,low,LRSE,5,Tuba
27,low,MRSE,6,Tuba
27,low,HRSE,5,Tuba
27,low,congr.,5,Tuba
27,mid,LRSE,4,Tuba
27,mid,MRSE,4,Tuba
27,mid,HRSE,3,Tuba
27,mid,congr.,5,Tuba
27,high,LRSE,2,Tuba
27,high,MRSE,3,Tuba
27,high,HRSE,3,Tuba
27,high,congr.,3,Tuba
28,low,LRSE,5,Tuba
28,low,MRSE,6,Tuba
28,low,HRSE,6,Tuba
28,low,congr.,6,Tuba
28,mid,LRSE,5,Tuba
28,mid,MRSE,4,Tuba
28,mid,HRSE,5,Tuba
28,mid,congr.,6,Tuba
28,high,LRSE,3,Tuba
28,high,MRSE,6,Tuba
28,high,HRSE,4,Tuba
28,high,congr.,4,Tuba
29,low,LRSE,6,Tuba
29,low,MRSE,6,Tuba
29,low,HRSE,6,Tuba
29,low,congr.,6,Tuba
29,mid,LRSE,6,Tuba
29,mid,MRSE,6,Tuba
29,mid,HRSE,6,Tuba
29,mid,congr.,4,Tuba
29,high,LRSE,4,Tuba
29,high,MRSE,5,Tuba
29,high,HRSE,5,Tuba
29,high,congr.,5,Tuba
30,low,LRSE,6,Tuba
30,low,MRSE,4.75,Tuba
30,low,HRSE,6,Tuba
30,low,congr.,6,Tuba
30,mid,LRSE,6,Tuba
30,mid,MRSE,6,Tuba
30,mid,HRSE,6,Tuba
30,mid,congr.,6,Tuba
30,high,LRSE,6,Tuba
30,high,MRSE,6,Tuba
30,high,HRSE,6,Tuba
30,high,congr.,6,Tuba
31,low,LRSE,6,Tuba
31,low,MRSE,6,Tuba
31,low,HRSE,3.5,Tuba
31,low,congr.,6,Tuba
31,mid,LRSE,4.75,Tuba
31,mid,MRSE,6,Tuba
31,mid,HRSE,4.75,Tuba
31,mid,congr.,4.75,Tuba
31,high,LRSE,3.5,Tuba
31,high,MRSE,4.75,Tuba
31,high,HRSE,3.5,Tuba
31,high,congr.,3.5,Tuba
32,low,LRSE,6,Tuba
32,low,MRSE,5,Tuba
32,low,HRSE,4,Tuba
32,low,congr.,6,Tuba
32,mid,LRSE,5,Tuba
32,mid,MRSE,5,Tuba
32,mid,HRSE,4,Tuba
32,mid,congr.,4,Tuba
32,high,LRSE,4,Tuba
32,high,MRSE,4,Tuba
32,high,HRSE,3,Tuba
32,high,congr.,3,Tuba
33,low,LRSE,6,Tuba
33,low,MRSE,6,Tuba
33,low,HRSE,6,Tuba
33,low,congr.,6,Tuba
33,mid,LRSE,4.75,Tuba
33,mid,MRSE,6,Tuba
33,mid,HRSE,6,Tuba
33,mid,congr.,6,Tuba
33,high,LRSE,3.5,Tuba
33,high,MRSE,4.75,Tuba
33,high,HRSE,4.75,Tuba
33,high,congr.,4.75,Tuba
34,low,LRSE,6,Tuba
34,low,MRSE,6,Tuba
34,low,HRSE,6,Tuba
34,low,congr.,6,Tuba
34,mid,LRSE,6,Tuba
34,mid,MRSE,4.75,Tuba
34,mid,HRSE,6,Tuba
34,mid,congr.,6,Tuba
34,high,LRSE,4.75,Tuba
34,high,MRSE,6,Tuba
34,high,HRSE,6,Tuba
34,high,congr.,6,Tuba
35,low,LRSE,6,Tuba
35,low,MRSE,6,Tuba
35,low,HRSE,6,Tuba
35,low,congr.,6,Tuba
35,mid,LRSE,6,Tuba
35,mid,MRSE,4.33333333333333,Tuba
35,mid,HRSE,6,Tuba
35,mid,congr.,4.33333333333333,Tuba
35,high,LRSE,6,Tuba
35,high,MRSE,6,Tuba
35,high,HRSE,6,Tuba
35,high,congr.,6,Tuba
36,low,LRSE,4.75,Tuba
36,low,MRSE,3.5,Tuba
36,low,HRSE,3.5,Tuba
36,low,congr.,4.75,Tuba
36,mid,LRSE,4.75,Tuba
36,mid,MRSE,6,Tuba
36,mid,HRSE,4.75,Tuba
36,mid,congr.,4.75,Tuba
36,high,LRSE,4.75,Tuba
36,high,MRSE,6,Tuba
36,high,HRSE,6,Tuba
36,high,congr.,6,Tuba
37,low,LRSE,4,Tuba
37,low,MRSE,2,Tuba
37,low,HRSE,2,Tuba
37,low,congr.,3,Tuba
37,mid,LRSE,6,Tuba
37,mid,MRSE,4,Tuba
37,mid,HRSE,3,Tuba
37,mid,congr.,6,Tuba
37,high,LRSE,4,Tuba
37,high,MRSE,5,Tuba
37,high,HRSE,5,Tuba
37,high,congr.,5,Tuba
38,low,LRSE,6,Tuba
38,low,MRSE,6,Tuba
38,low,HRSE,6,Tuba
38,low,congr.,5,Tuba
38,mid,LRSE,6,Tuba
38,mid,MRSE,5,Tuba
38,mid,HRSE,6,Tuba
38,mid,congr.,6,Tuba
38,high,LRSE,5,Tuba
38,high,MRSE,5,Tuba
38,high,HRSE,4,Tuba
38,high,congr.,4,Tuba
