participant,response,condition,f0,pc1,pc2
4,5,congruent,440.734229549018,0,10
4,5,congruent,403.650066780848,0,15
4,2,incongruent,261.625565300599,-20,0
4,4,incongruent,261.625565300599,-15,0
4,4,incongruent,261.625565300599,-10,0
4,4,incongruent,659.255113825741,-5,0
4,4,incongruent,369.994422711635,0,0
4,4,incongruent,440.000000000001,5,0
4,5,incongruent,698.456462866009,10,0
4,6,incongruent,554.365261953745,15,0
4,3,incongruent,554.365261953745,20,0
4,6,incongruent,1244.50793488833,0,-15
4,6,incongruent,1244.50793488833,0,-10
4,6,incongruent,880.000000000001,0,-5
4,3,incongruent,369.994422711635,0,0
4,3,incongruent,311.126983722081,0,5
4,3,incongruent,277.182630976873,0,10
4,2,incongruent,293.664767917408,0,15
4,2,fixed,293.664767917408,-20,0
4,3,fixed,293.664767917408,-15,0
4,5,fixed,293.664767917408,-10,0
4,3,fixed,293.664767917408,-5,0
4,3,fixed,293.664767917408,0,0
4,2,fixed,293.664767917408,5,0
4,2,fixed,293.664767917408,10,0
4,4,fixed,293.664767917408,15,0
4,4,fixed,293.664767917408,20,0
4,3,fixed,293.664767917408,0,-15
4,4,fixed,293.664767917408,0,-10
4,3,fixed,293.664767917408,0,-5
4,2,fixed,293.664767917408,0,0
4,4,fixed,293.664767917408,0,5
4,3,fixed,293.664767917408,0,10
4,5,fixed,293.664767917408,0,15
5,4,congruent,454.593999418035,-20,0
5,5,congruent,454.593999418035,-15,0
5,4,congruent,454.593999418035,-10,0
5,2,congruent,185.305916853689,-5,0
5,3,congruent,330.177607577543,0,0
5,2,congruent,270.303209272735,5,0
5,2,congruent,174.614115716502,10,0
5,3,congruent,225.898373346687,15,0
5,2,congruent,225.898373346687,20,0
5,1,congruent,95.2487323366731,0,-15
5,2,congruent,95.2487323366731,0,-10
5,1,congruent,134.702049069368,0,-5
5,3,congruent,330.177607577543,0,0
5,2,congruent,380.994929346692,0,5
5,3,congruent,440.734229549018,0,10
5,4,congruent,403.650066780848,0,15
5,1,incongruent,261.625565300599,-20,0
5,3,incongruent,261.625565300599,-15,0
5,2,incongruent,261.625565300599,-10,0
5,4,incongruent,659.255113825741,-5,0
5,3,incongruent,369.994422711635,0,0
5,3,incongruent,440.000000000001,5,0
5,3,incongruent,698.456462866009,10,0
5,4,incongruent,554.365261953745,15,0
5,3,incongruent,554.365261953745,20,0
5,6,incongruent,1244.50793488833,0,-15
