participant,score,space,condition,f0
2,5,inner,congruent,169.7
2,5,inner,congruent,93.9
2,5,inner,congruent,69.4
2,3,outer,congruent,591.3
2,2,outer,congruent,640.8
2,3,outer,congruent,640.8
2,3,outer,congruent,823.5
2,3,outer,congruent,623.3
2,2,outer,congruent,709
2,3,outer,congruent,440.7
2,3,outer,congruent,403.7
2,5,outer,congruent,179.8
2,4,outer,congruent,201.8
2,6,outer,congruent,226.5
2,5,outer,congruent,187.8
2,5,outer,congruent,197.3
2,6,outer,congruent,226.5
2,3,outer,congruent,320.4
2,2,outer,congruent,320.4
2,3,outer,congruent,226.5
2,4,outer,congruent,320.4
2,3,outer,congruent,171.4
2,4,outer,congruent,207.7
2,3,outer,congruent,95.2
2,4,outer,congruent,114.4
2,4,outer,congruent,106.9
2,4,outer,congruent,114.4
2,3,outer,congruent,77.9
2,5,outer,congruent,77.9
2,4,outer,congruent,77.9
2,5,outer,congruent,147.1
2,3,outer,congruent,360.8
2,3,outer,congruent,508.6
2,4,outer,congruent,320.4
2,3,outer,congruent,508.6
2,4,outer,congruent,179.8
2,5,outer,congruent,197.3
2,5,outer,congruent,174.6
2,5,outer,congruent,218.1
2,3,inner,incongruent,185
2,2,inner,incongruent,55
2,4,inner,incongruent,293.7
2,4,inner,incongruent,370
2,5,inner,incongruent,440
2,3,inner,incongruent,196
2,4,inner,incongruent,246.9
2,3,inner,incongruent,164.8
2,5,inner,incongruent,392
2,5,inner,incongruent,523.3
2,5,inner,incongruent,207.7
2,4,inner,incongruent,130.8
2,4,inner,incongruent,277.2
2,5,inner,incongruent,659.3
2,5,inner,incongruent,587.3
2,4,inner,incongruent,311.1
2,4,inner,incongruent,220
2,5,inner,incongruent,493.9
2,5,inner,incongruent,415.3
2,5,inner,incongruent,1396.9
2,4,inner,incongruent,311.1
2,5,inner,incongruent,293.7
2,4,inner,incongruent,370
2,4,inner,incongruent,207.7
2,5,inner,incongruent,880
2,5,inner,incongruent,293.7
2,5,inner,incongruent,261.6
2,5,inner,incongruent,932.3
2,4,inner,incongruent,880
2,5,inner,incongruent,1244.5
2,4,inner,incongruent,587.3
2,5,inner,incongruent,392
2,2,inner,incongruent,2217.5
2,4,inner,incongruent,932.3
2,5,inner,incongruent,880
2,4,inner,incongruent,698.5
2,5,inner,incongruent,659.3
2,5,inner,incongruent,698.5
2,1,inner,incongruent,1760
2,3,inner,incongruent,1396.9
2,5,inner,incongruent,622.3
2,5,inner,incongruent,698.5
2,5,inner,incongruent,698.5
2,3,inner,incongruent,1318.5
2,2,inner,incongruent,1760
2,2,outer,incongruent,207.7
2,1,outer,incongruent,185
2,2,outer,incongruent,185
2,2,outer,incongruent,146.8
2,3,outer,incongruent,196
2,2,outer,incongruent,174.6
2,2,outer,incongruent,277.2
2,3,outer,incongruent,293.7
2,4,outer,incongruent,659.3
2,3,outer,incongruent,587.3
2,5,outer,incongruent,523.3
2,2,outer,incongruent,659.3
2,5,outer,incongruent,622.3
2,2,outer,incongruent,523.3
2,4,outer,incongruent,370
2,3,outer,incongruent,370
2,3,outer,incongruent,523.3
2,4,outer,incongruent,370
2,5,outer,incongruent,698.5
2,5,outer,incongruent,587.3
2,4,outer,incongruent,1244.5
2,6,outer,incongruent,1046.5
2,6,outer,incongruent,1108.7
2,3,outer,incongruent,1046.5
2,1,outer,incongruent,1568
2,2,outer,incongruent,1568
2,1,outer,incongruent,1568
2,5,outer,incongruent,830.6
2,3,outer,incongruent,329.6
2,3,outer,incongruent,233.1
2,4,outer,incongruent,370
2,2,outer,incongruent,233.1
2,4,outer,incongruent,659.3
2,5,outer,incongruent,622.3
2,5,outer,incongruent,698.5
2,5,outer,incongruent,554.4
2,3,inner,fixed,293.7
2,3,inner,fixed,293.7
2,3,inner,fixed,293.7
2,4,inner,fixed,293.7
2,4,inner,fixed,293.7
2,3,inner,fixed,293.7
2,4,inner,fixed,293.7
2,4,inner,fixed,293.7
2,4,inner,fixed,293.7
2,3,inner,fixed,293.7
2,5,inner,fixed,293.7
2,5,inner,fixed,293.7
2,5,inner,fixed,293.7
2,5,inner,fixed,293.7
2,3,inner,fixed,293.7
2,3,inner,fixed,293.7
2,3,inner,fixed,293.7
2,5,inner,fixed,293.7
2,5,inner,fixed,293.7
2,5,inner,fixed,293.7
2,4,inner,fixed,293.7
2,5,inner,fixed,293.7
2,5,inner,fixed,293.7
2,5,inner,fixed,293.7
2,5,inner,fixed,293.7
2,5,inner,fixed,293.7
2,4,inner,fixed,293.7
2,5,inner,fixed,293.7
2,5,inner,fixed,293.7
2,4,inner,fixed,293.7
2,5,inner,fixed,293.7
2,5,inner,fixed,293.7
2,4,inner,fixed,293.7
2,5,inner,fixed,293.7
2,5,inner,fixed,293.7
2,4,inner,fixed,293.7
2,5,inner,fixed,293.7
2,5,inner,fixed,293.7
2,5,inner,fixed,293.7
2,4,inner,fixed,293.7
2,5,inner,fixed,293.7
2,5,inner,fixed,293.7
2,4,inner,fixed,293.7
2,5,inner,fixed,293.7
2,5,inner,fixed,293.7
2,2,outer,fixed,293.7
2,2,outer,fixed,293.7
2,2,outer,fixed,293.7
2,2,outer,fixed,293.7
2,2,outer,fixed,293.7
2,2,outer,fixed,293.7
2,3,outer,fixed,293.7
2,3,outer,fixed,293.7
2,5,outer,fixed,293.7
2,3,outer,fixed,293.7
2,5,outer,fixed,293.7
2,4,outer,fixed,293.7
2,4,outer,fixed,293.7
2,4,outer,fixed,293.7
2,2,outer,fixed,293.7
2,2,outer,fixed,293.7
2,3,outer,fixed,293.7
2,3,outer,fixed,293.7
2,3,outer,fixed,293.7
2,3,outer,fixed,293.7
2,4,outer,fixed,293.7
2,4,outer,fixed,293.7
2,5,outer,fixed,293.7
2,4,outer,fixed,293.7
2,5,outer,fixed,293.7
2,5,outer,fixed,293.7
2,4,outer,fixed,293.7
2,4,outer,fixed,293.7
2,3,outer,fixed,293.7
2,2,outer,fixed,293.7
2,3,outer,fixed,293.7
2,3,outer,fixed,293.7
2,5,outer,fixed,293.7
2,5,outer,fixed,293.7
2,4,outer,fixed,293.7
2,5,outer,fixed,293.7
3,3,inner,congruent,640.8
3,2,inner,congruent,2253.9
3,4,inner,congruent,403.7
3,3,inner,congruent,320.4
3,4,inner,congruent,277.2
3,4,inner,congruent,623.3
3,3,inner,congruent,480
3,2,inner,congruent,719.2
3,3,inner,congruent,302.4
3,4,inner,congruent,233.1
3,3,inner,congruent,570.8
3,3,inner,congruent,938.6
3,5,inner,congruent,442
3,3,inner,congruent,185
3,3,inner,congruent,207.7
3,4,inner,congruent,381
3,3,inner,congruent,540.6
3,2,inner,congruent,246.9
3,3,inner,congruent,298.1
3,3,inner,congruent,87.5
3,3,inner,congruent,381
3,4,inner,congruent,416
3,5,inner,congruent,330.2
3,5,inner,congruent,588
3,2,inner,congruent,134.7
3,3,inner,congruent,415.3
3,3,inner,congruent,454.6
3,4,inner,congruent,132.8
3,3,inner,congruent,142.3
3,2,inner,congruent,95.6
3,6,inner,congruent,201.8
3,5,inner,congruent,315.8
3,2,inner,congruent,56.5
3,4,inner,congruent,131.4
3,2,inner,congruent,134.7
3,3,inner,congruent,170.3
3,4,inner,congruent,186.2
3,5,inner,congruent,169.7
3,2,inner,congruent,67.4
3,3,inner,congruent,84.9
3,4,inner,congruent,197.3
3,5,inner,congruent,169.7
3,5,inner,congruent,169.7
3,3,inner,congruent,93.9
3,2,inner,congruent,69.4
3,3,outer,congruent,591.3
3,1,outer,congruent,640.8
3,4,outer,congruent,640.8
3,2,outer,congruent,823.5
3,2,outer,congruent,623.3
3,2,outer,congruent,709
3,4,outer,congruent,440.7
3,3,outer,congruent,403.7
3,6,outer,congruent,179.8
3,3,outer,congruent,201.8
3,5,outer,congruent,226.5
3,6,outer,congruent,187.8
3,6,outer,congruent,197.3
3,6,outer,congruent,226.5
3,4,outer,congruent,320.4
3,3,outer,congruent,320.4
3,1,outer,congruent,226.5
3,4,outer,congruent,320.4
3,3,outer,congruent,171.4
