participant,score,space,condition,f0,pc1,pc2
2,3,outer,congruent,403.6500668,0,15
2,5,outer,congruent,179.8056635,6.6667,9
2,4,outer,congruent,201.8250334,6.6667,15
2,6,outer,congruent,226.5409404,13.3333,9
2,5,outer,congruent,187.7817459,13.3333,15
2,5,outer,congruent,197.3070579,20,9
2,6,outer,congruent,226.5409404,20,15
2,3,outer,congruent,320.3772703,-20,-15
2,2,outer,congruent,320.3772703,-20,-9
2,3,outer,congruent,226.5409404,-13.3333,-15
2,4,outer,congruent,320.3772703,-13.3333,-9
2,3,outer,congruent,171.415051,-6.6667,-15
2,4,outer,congruent,207.6523488,-6.6667,-9
2,3,outer,congruent,95.24873234,0,-15
2,4,outer,congruent,114.4058208,0,-9
2,4,outer,congruent,106.9130872,6.6667,-15
2,4,outer,congruent,114.4058208,6.6667,-9
2,3,outer,congruent,77.9115406,13.3333,-15
2,5,outer,congruent,77.9115406,13.3333,-9
2,4,outer,congruent,77.9115406,20,-15
2,5,outer,congruent,147.0774037,20,-9
2,3,outer,congruent,360.8114964,-20,-3
2,3,outer,congruent,508.5672159,-20,3
2,4,outer,congruent,320.3772703,-13.33,-3
2,3,outer,congruent,508.5672159,-13.33,3
2,4,outer,congruent,179.8056635,13.33,-3
2,5,outer,congruent,197.3070579,13.33,3
2,5,outer,congruent,174.6141157,20,-3
2,5,outer,congruent,218.1198405,20,3
2,3,inner,incongruent,184.9972114,-8,-5
2,2,inner,incongruent,55,-8,-2.5
2,4,inner,incongruent,293.6647679,-8,0
2,4,inner,incongruent,369.9944227,-8,2.5
2,5,inner,incongruent,440,-8,5
2,3,inner,incongruent,195.997718,-6,-5
2,4,inner,incongruent,246.9416506,-6,-2.5
2,3,inner,incongruent,164.8137785,-6,0
2,5,inner,incongruent,391.995436,-6,2.5
2,5,inner,incongruent,523.2511306,-6,5
2,5,inner,incongruent,207.6523488,-4,-5
2,4,inner,incongruent,130.8127827,-4,-2.5
2,4,inner,incongruent,277.182631,-4,0
2,5,inner,incongruent,659.2551138,-4,2.5
2,5,inner,incongruent,587.3295358,-4,5
2,4,inner,incongruent,311.1269837,-2,-5
2,4,inner,incongruent,220,-2,-2.5
2,5,inner,incongruent,493.8833013,-2,0
2,5,inner,incongruent,415.3046976,-2,2.5
2,5,inner,incongruent,1396.912926,-2,5
2,4,inner,incongruent,311.1269837,0,-5
2,5,inner,incongruent,293.6647679,0,-2.5
2,4,inner,incongruent,369.9944227,0,0
2,4,inner,incongruent,207.6523488,0,2.5
2,5,inner,incongruent,880,0,5
2,5,inner,incongruent,293.6647679,2,-5
2,5,inner,incongruent,261.6255653,2,-2.5
2,5,inner,incongruent,932.327523,2,0
2,4,inner,incongruent,880,2,2.5
2,5,inner,incongruent,1244.507935,2,5
2,4,inner,incongruent,587.3295358,4,-5
2,5,inner,incongruent,391.995436,4,-2.5
2,2,inner,incongruent,2217.461048,4,0
2,4,inner,incongruent,932.327523,4,2.5
2,5,inner,incongruent,880,4,5
2,4,inner,incongruent,698.4564629,6,-5
2,5,inner,incongruent,659.2551138,6,-2.5
2,5,inner,incongruent,698.4564629,6,0
2,1,inner,incongruent,1760,6,2.5
2,3,inner,incongruent,1396.912926,6,5
2,5,inner,incongruent,622.2539674,8,-5
2,5,inner,incongruent,698.4564629,8,-2.5
2,5,inner,incongruent,698.4564629,8,0
2,3,inner,incongruent,1318.510228,8,2.5
2,2,inner,incongruent,1760,8,5
2,2,outer,incongruent,207.6523488,-20,9
2,1,outer,incongruent,184.9972114,-20,15
2,2,outer,incongruent,184.9972114,-13.3333,9
2,2,outer,incongruent,146.832384,-13.3333,15
2,3,outer,incongruent,195.997718,-6.6667,9
2,2,outer,incongruent,174.6141157,-6.6667,15
2,2,outer,incongruent,277.182631,0,9
2,3,outer,incongruent,293.6647679,0,15
2,4,outer,incongruent,659.2551138,6.6667,9
2,3,outer,incongruent,587.3295358,6.6667,15
2,5,outer,incongruent,523.2511306,13.3333,9
2,2,outer,incongruent,659.2551138,13.3333,15
2,5,outer,incongruent,622.2539674,20,9
2,2,outer,incongruent,523.2511306,20,15
2,4,outer,incongruent,369.9944227,-20,-15
2,3,outer,incongruent,369.9944227,-20,-9
2,3,outer,incongruent,523.2511306,-13.3333,-15
2,4,outer,incongruent,369.9944227,-13.3333,-9
2,5,outer,incongruent,698.4564629,-6.6667,-15
2,5,outer,incongruent,587.3295358,-6.6667,-9
2,4,outer,incongruent,1244.507935,0,-15
2,6,outer,incongruent,1046.502261,0,-9
2,6,outer,incongruent,1108.730524,6.6667,-15
2,3,outer,incongruent,1046.502261,6.6667,-9
2,1,outer,incongruent,1567.981744,13.3333,-15
2,2,outer,incongruent,1567.981744,13.3333,-9
2,1,outer,incongruent,1567.981744,20,-15
2,5,outer,incongruent,830.6093952,20,-9
2,3,outer,incongruent,329.6275569,-20,-3
2,3,outer,incongruent,233.0818808,-20,3
2,4,outer,incongruent,369.9944227,-13.33,-3
2,2,outer,incongruent,233.0818808,-13.33,3
2,4,outer,incongruent,659.2551138,13.33,-3
2,5,outer,incongruent,622.2539674,13.33,3
2,5,outer,incongruent,698.4564629,20,-3
2,5,outer,incongruent,554.365262,20,3
2,3,inner,fixed,293.6647679,-8,-5
2,3,inner,fixed,293.6647679,-8,-2.5
2,3,inner,fixed,293.6647679,-8,0
2,4,inner,fixed,293.6647679,-8,2.5
2,4,inner,fixed,293.6647679,-8,5
2,3,inner,fixed,293.6647679,-6,-5
2,4,inner,fixed,293.6647679,-6,-2.5
2,4,inner,fixed,293.6647679,-6,0
2,4,inner,fixed,293.6647679,-6,2.5
2,3,inner,fixed,293.6647679,-6,5
2,5,inner,fixed,293.6647679,-4,-5
