"participants","msi_score","register","condition","response","instrument"
22,74,"low","congr.",3.5,"Violin"
22,74,"mid","LRSE",2.25,"Violin"
22,74,"mid","MRSE",2.25,"Violin"
22,74,"mid","HRSE",4.75,"Violin"
22,74,"mid","congr.",4.75,"Violin"
22,74,"high","LRSE",1,"Violin"
22,74,"high","MRSE",3.5,"Violin"
22,74,"high","HRSE",2.25,"Violin"
22,74,"high","congr.",3.5,"Violin"
23,74,"low","LRSE",6,"Violin"
23,74,"low","MRSE",3.5,"Violin"
23,74,"low","HRSE",2.25,"Violin"
23,74,"low","congr.",4.75,"Violin"
23,74,"mid","LRSE",3.5,"Violin"
23,74,"mid","MRSE",2.25,"Violin"
23,74,"mid","HRSE",2.25,"Violin"
23,74,"mid","congr.",4.75,"Violin"
23,74,"high","LRSE",3.5,"Violin"
23,74,"high","MRSE",2.25,"Violin"
23,74,"high","HRSE",4.75,"Violin"
23,74,"high","congr.",2.25,"Violin"
24,80,"low","LRSE",4,"Violin"
24,80,"low","MRSE",2,"Violin"
24,80,"low","HRSE",2,"Violin"
24,80,"low","congr.",3,"Violin"
24,80,"mid","LRSE",5,"Violin"
24,80,"mid","MRSE",5,"Violin"
24,80,"mid","HRSE",2,"Violin"
24,80,"mid","congr.",5,"Violin"
24,80,"high","LRSE",4,"Violin"
24,80,"high","MRSE",5,"Violin"
24,80,"high","HRSE",5,"Violin"
24,80,"high","congr.",5,"Violin"
25,56,"low","LRSE",6,"Violin"
25,56,"low","MRSE",2.66666666666667,"Violin"
25,56,"low","HRSE",2.66666666666667,"Violin"
25,56,"low","congr.",6,"Violin"
25,56,"mid","LRSE",2.66666666666667,"Violin"
25,56,"mid","MRSE",2.66666666666667,"Violin"
25,56,"mid","HRSE",2.66666666666667,"Violin"
25,56,"mid","congr.",4.33333333333333,"Violin"
25,56,"high","LRSE",4.33333333333333,"Violin"
25,56,"high","MRSE",4.33333333333333,"Violin"
25,56,"high","HRSE",4.33333333333333,"Violin"
25,56,"high","congr.",6,"Violin"
26,68,"low","LRSE",2.66666666666667,"Violin"
26,68,"low","MRSE",4.33333333333333,"Violin"
26,68,"low","HRSE",4.33333333333333,"Violin"
26,68,"low","congr.",6,"Violin"
26,68,"mid","LRSE",2.66666666666667,"Violin"
26,68,"mid","MRSE",4.33333333333333,"Violin"
26,68,"mid","HRSE",2.66666666666667,"Violin"
26,68,"mid","congr.",4.33333333333333,"Violin"
26,68,"high","LRSE",2.66666666666667,"Violin"
26,68,"high","MRSE",2.66666666666667,"Violin"
26,68,"high","HRSE",2.66666666666667,"Violin"
26,68,"high","congr.",2.66666666666667,"Violin"
27,76,"low","LRSE",2,"Violin"
27,76,"low","MRSE",3,"Violin"
27,76,"low","HRSE",1,"Violin"
27,76,"low","congr.",3,"Violin"
27,76,"mid","LRSE",1,"Violin"
27,76,"mid","MRSE",3,"Violin"
27,76,"mid","HRSE",1,"Violin"
27,76,"mid","congr.",3,"Violin"
27,76,"high","LRSE",4,"Violin"
27,76,"high","MRSE",5,"Violin"
27,76,"high","HRSE",4,"Violin"
27,76,"high","congr.",4,"Violin"
28,80,"low","LRSE",5,"Violin"
28,80,"low","MRSE",4,"Violin"
28,80,"low","HRSE",1,"Violin"
28,80,"low","congr.",3,"Violin"
28,80,"mid","LRSE",4,"Violin"
28,80,"mid","MRSE",3,"Violin"
28,80,"mid","HRSE",2,"Violin"
28,80,"mid","congr.",4,"Violin"
28,80,"high","LRSE",2,"Violin"
28,80,"high","MRSE",2,"Violin"
28,80,"high","HRSE",3,"Violin"
28,80,"high","congr.",4,"Violin"
29,61,"low","LRSE",5,"Violin"
29,61,"low","MRSE",2,"Violin"
29,61,"low","HRSE",1,"Violin"
29,61,"low","congr.",2,"Violin"
29,61,"mid","LRSE",5,"Violin"
29,61,"mid","MRSE",5,"Violin"
29,61,"mid","HRSE",2,"Violin"
29,61,"mid","congr.",5,"Violin"
29,61,"high","LRSE",2,"Violin"
29,61,"high","MRSE",1,"Violin"
29,61,"high","HRSE",4,"Violin"
29,61,"high","congr.",1,"Violin"
30,73,"low","LRSE",2.25,"Violin"
30,73,"low","MRSE",6,"Violin"
30,73,"low","HRSE",3.5,"Violin"
30,73,"low","congr.",3.5,"Violin"
30,73,"mid","LRSE",4.75,"Violin"
30,73,"mid","MRSE",4.75,"Violin"
30,73,"mid","HRSE",3.5,"Violin"
30,73,"mid","congr.",4.75,"Violin"
30,73,"high","LRSE",6,"Violin"
