browser,version,GMT_timestamp,local_timestamp,trial_file_version,link,completionCode,duration_s
Safari,"16.1",2022-12-02_13:25:24,2022-12-02_14:25:24,2022-11-22_13:56:43,https://www.testable.org/experiment/4346/924090/start,6kfxVeQAdcpBiGN8,1411.333

rowNo,type,stim1,stimFormat,ITI,condition1,head,trialText,button1,button2,button3,button4,button5,button6,key,random,waitStimEnd,randomBlock,responseType,responseOptions,required,if,then,label,responseOther,body,pageBreak,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
283,test,Tuba_hig_D2,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","4","","","","","","","","","",800,60,"13.33",293440,"4",1763,"",""
239,test,Tuba_low_AIS1,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","4","","","","","","","","","",800,60,"13.33",295836,"4",779,"",""
281,test,Tuba_hig_AIS5,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","4","","","","","","","","","",800,60,"13.33",298108,"5",663,"",""
273,test,Tuba_mid_FIS4,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","4","","","","","","","","","",801,60,"13.35",300507,"5",790,"",""
245,test,Tuba_low_D2,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","4","","","","","","","","","",801,60,"13.35",302866,"4",712,"",""
266,test,Tuba_mid_D4,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","4","","","","","","","","","",800,60,"13.33",305300,"5",825,"",""
256,test,Tuba_low_FIS6,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","4","","","","","","","","","",800,60,"13.33",307489,"2",572,"",""
247,test,Tuba_low_D4,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","4","","","","","","","","","",800,60,"13.33",309964,"4",857,"",""
236,test,Tuba_all_FIS2,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","4","","","","","","","","","",801,60,"13.35",312238,"4",644,"",""
240,test,Tuba_low_AIS2,.wav,"800","","",Please rate the sound pleasantness.,Very unpleasant,Unpleasant,Mildly unpleasant,Mildly pleasant,Pleasant,Very Pleasant,"","1","1","4","","","","","","","","","",801,60,"13.35",314551,"4",706,"",""
